Index,Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
563,France,2020,DDoS,Healthcare,58.8,153523,Insider,Social Engineering,Encryption,22
564,UK,2019,Phishing,IT,3.33,232665,Unknown,Social Engineering,AI-based Detection,65
565,Germany,2022,Phishing,Government,58.98,383945,Nation-state,Zero-day,Encryption,49
566,Brazil,2023,Ransomware,Government,4.6,762006,Unknown,Weak Passwords,Antivirus,21
567,Germany,2019,SQL Injection,Government,96.91,408103,Nation-state,Unpatched Software,Firewall,27
568,France,2022,Phishing,Healthcare,85.91,44837,Unknown,Zero-day,AI-based Detection,18
569,Germany,2023,DDoS,Telecommunications,51.49,642699,Unknown,Social Engineering,Firewall,51
570,UK,2021,Ransomware,Telecommunications,3.99,634820,Insider,Unpatched Software,Encryption,33
571,France,2021,Malware,Retail,3.44,887718,Insider,Zero-day,Antivirus,55
572,USA,2020,DDoS,Education,52.7,541631,Unknown,Zero-day,AI-based Detection,30
573,USA,2016,Ransomware,Retail,11.58,523522,Unknown,Weak Passwords,Encryption,57
574,Russia,2021,DDoS,Government,91.69,686309,Unknown,Unpatched Software,Antivirus,42
575,India,2015,Man-in-the-Middle,Education,79.89,416328,Nation-state,Zero-day,Encryption,55
576,India,2021,Man-in-the-Middle,IT,53.49,582718,Hacker Group,Social Engineering,Encryption,20
577,Japan,2021,Man-in-the-Middle,Telecommunications,18.91,549640,Nation-state,Social Engineering,Encryption,17
578,USA,2024,DDoS,Retail,15.34,1068,Insider,Social Engineering,Firewall,3
579,France,2018,DDoS,Telecommunications,12.72,959835,Unknown,Zero-day,Firewall,38
580,USA,2024,Ransomware,Retail,46.59,227390,Insider,Weak Passwords,AI-based Detection,40
581,France,2021,SQL Injection,Banking,62.9,577763,Insider,Zero-day,AI-based Detection,43
582,Japan,2018,SQL Injection,Healthcare,85.33,786644,Nation-state,Unpatched Software,Antivirus,41
583,China,2016,Malware,Healthcare,85.15,454802,Insider,Unpatched Software,Antivirus,48
584,China,2024,DDoS,Healthcare,53.53,371685,Unknown,Social Engineering,VPN,34
585,India,2023,Ransomware,Retail,4.32,217534,Unknown,Unpatched Software,VPN,48
586,Australia,2024,Man-in-the-Middle,Telecommunications,31.68,376612,Nation-state,Unpatched Software,VPN,27
587,UK,2020,Phishing,Banking,84.77,812206,Hacker Group,Unpatched Software,Encryption,39
588,Australia,2021,Man-in-the-Middle,Banking,82.87,255967,Unknown,Social Engineering,VPN,23
589,USA,2023,DDoS,Healthcare,5.32,463332,Unknown,Weak Passwords,Encryption,16
590,Australia,2023,DDoS,IT,31.48,771547,Hacker Group,Zero-day,Antivirus,5
591,UK,2020,DDoS,Retail,86,809209,Unknown,Social Engineering,Encryption,26
592,India,2024,DDoS,Retail,35.47,342575,Insider,Social Engineering,Firewall,49
593,Japan,2024,Phishing,Retail,94.75,478963,Insider,Zero-day,VPN,70
594,USA,2017,SQL Injection,Banking,39.59,910393,Unknown,Weak Passwords,Antivirus,52
595,Australia,2024,Phishing,Banking,70.52,601198,Insider,Zero-day,Encryption,41
596,UK,2018,Ransomware,Government,6.6,152302,Hacker Group,Social Engineering,AI-based Detection,26
597,USA,2016,SQL Injection,Healthcare,25.85,79102,Nation-state,Zero-day,AI-based Detection,4
598,India,2017,Ransomware,Retail,80.93,837506,Nation-state,Zero-day,Antivirus,8
599,Germany,2018,Malware,Banking,63.81,347441,Hacker Group,Social Engineering,Firewall,58
600,USA,2021,Ransomware,Telecommunications,3.63,231198,Insider,Unpatched Software,Encryption,42
601,Brazil,2016,DDoS,Government,80.09,555275,Unknown,Social Engineering,Antivirus,71
602,UK,2016,SQL Injection,Retail,24.51,46699,Unknown,Zero-day,Antivirus,53
603,UK,2024,Man-in-the-Middle,IT,56.23,706469,Unknown,Unpatched Software,Encryption,17
604,China,2018,Ransomware,IT,43.73,311165,Unknown,Social Engineering,AI-based Detection,34
605,France,2019,SQL Injection,Government,85.13,304257,Nation-state,Weak Passwords,Antivirus,20
606,Brazil,2017,SQL Injection,Telecommunications,24.05,446378,Insider,Unpatched Software,Antivirus,59
607,China,2021,Ransomware,Healthcare,32.72,994243,Hacker Group,Social Engineering,Firewall,54
608,UK,2015,Phishing,Healthcare,81.75,98634,Unknown,Social Engineering,VPN,5
609,USA,2018,Phishing,Telecommunications,42.46,93999,Nation-state,Social Engineering,Encryption,65
610,France,2017,SQL Injection,Education,14.54,171095,Hacker Group,Zero-day,AI-based Detection,63
611,USA,2015,Man-in-the-Middle,IT,38.92,820182,Nation-state,Weak Passwords,Antivirus,16
612,Germany,2018,SQL Injection,Telecommunications,4.2,164890,Insider,Weak Passwords,Encryption,61
613,China,2015,SQL Injection,Telecommunications,75.91,605020,Insider,Unpatched Software,Antivirus,43
614,Australia,2024,Ransomware,Education,44.95,500747,Insider,Unpatched Software,AI-based Detection,58
615,Japan,2020,Man-in-the-Middle,IT,35.79,854904,Insider,Weak Passwords,Firewall,12
616,China,2020,SQL Injection,Healthcare,62.44,55719,Unknown,Unpatched Software,Firewall,71
617,Brazil,2015,Phishing,Retail,19.93,355008,Hacker Group,Unpatched Software,Antivirus,31
618,UK,2019,Phishing,IT,75.31,428615,Unknown,Social Engineering,AI-based Detection,66
619,Australia,2015,Phishing,Healthcare,76.4,108767,Nation-state,Unpatched Software,VPN,48
620,India,2020,Man-in-the-Middle,IT,28.69,939469,Insider,Unpatched Software,Encryption,45
621,UK,2019,Man-in-the-Middle,Government,23.93,325827,Nation-state,Zero-day,Antivirus,39
622,UK,2017,Man-in-the-Middle,Education,30.44,996762,Hacker Group,Social Engineering,AI-based Detection,27
623,Japan,2017,Phishing,IT,5.14,319868,Hacker Group,Unpatched Software,VPN,52
624,Brazil,2018,Man-in-the-Middle,Banking,1.01,66191,Hacker Group,Weak Passwords,AI-based Detection,71
625,India,2023,Ransomware,IT,18.53,925373,Insider,Zero-day,AI-based Detection,4
626,India,2015,Malware,Telecommunications,1.52,913114,Insider,Unpatched Software,VPN,15
627,Australia,2019,DDoS,Healthcare,84.89,163975,Nation-state,Unpatched Software,Firewall,22
628,USA,2016,DDoS,Education,66.73,876135,Insider,Unpatched Software,AI-based Detection,67
629,China,2024,Ransomware,Government,72.61,595380,Hacker Group,Zero-day,VPN,10
630,France,2020,DDoS,Government,44.16,840796,Nation-state,Weak Passwords,AI-based Detection,5
631,UK,2022,DDoS,Telecommunications,80.05,484908,Unknown,Weak Passwords,Firewall,42
632,Russia,2018,SQL Injection,Telecommunications,13.69,146100,Unknown,Social Engineering,Encryption,22
633,USA,2021,Phishing,IT,29.02,555756,Insider,Zero-day,AI-based Detection,21
634,India,2017,Ransomware,Retail,69.91,340928,Unknown,Social Engineering,Antivirus,61
635,UK,2016,Malware,Telecommunications,3.76,678640,Insider,Zero-day,Encryption,44
636,Brazil,2020,Phishing,IT,57.43,212798,Insider,Social Engineering,Antivirus,31
637,UK,2019,Ransomware,Retail,63.45,354024,Unknown,Weak Passwords,AI-based Detection,33
638,UK,2016,Man-in-the-Middle,Government,41.34,189354,Insider,Zero-day,Firewall,39
639,Australia,2022,Phishing,Education,22.73,648363,Unknown,Zero-day,VPN,47
640,Brazil,2017,DDoS,IT,5.88,231114,Insider,Weak Passwords,AI-based Detection,37
641,India,2017,Ransomware,Banking,9.81,489620,Unknown,Unpatched Software,VPN,43
642,USA,2015,DDoS,IT,94.14,854005,Unknown,Zero-day,AI-based Detection,14
643,Germany,2017,Ransomware,IT,33.24,550719,Hacker Group,Zero-day,AI-based Detection,60
644,Germany,2019,Man-in-the-Middle,Government,75.37,445254,Hacker Group,Unpatched Software,VPN,42
645,Japan,2020,Phishing,Education,49.17,218097,Unknown,Zero-day,VPN,32
646,Germany,2017,Malware,Telecommunications,94.87,324790,Insider,Zero-day,VPN,42
647,India,2023,SQL Injection,Government,28.71,497965,Unknown,Unpatched Software,VPN,25
648,Australia,2023,SQL Injection,Education,42.5,933030,Insider,Social Engineering,Antivirus,27
649,UK,2015,Man-in-the-Middle,IT,53.07,538338,Nation-state,Zero-day,VPN,1
650,France,2018,Phishing,Retail,99.78,860459,Hacker Group,Social Engineering,AI-based Detection,11
651,UK,2024,DDoS,Healthcare,82.87,276634,Unknown,Unpatched Software,Antivirus,38
652,Germany,2018,Man-in-the-Middle,Banking,81.46,316299,Insider,Social Engineering,Firewall,66
653,Japan,2023,Ransomware,Healthcare,33.66,410385,Unknown,Zero-day,Encryption,71
654,Japan,2024,DDoS,Healthcare,99.28,589898,Unknown,Weak Passwords,VPN,59
655,France,2016,Man-in-the-Middle,Retail,14.86,63760,Hacker Group,Weak Passwords,VPN,8
656,USA,2015,Ransomware,Banking,33.75,58037,Insider,Social Engineering,VPN,13
657,UK,2017,SQL Injection,Government,82.03,994787,Nation-state,Unpatched Software,Encryption,56
658,India,2016,Ransomware,Retail,9.53,89719,Unknown,Zero-day,Firewall,68
659,Germany,2023,SQL Injection,Telecommunications,6.09,590760,Unknown,Unpatched Software,Firewall,32
660,UK,2022,DDoS,IT,29.05,186700,Insider,Weak Passwords,Antivirus,37
661,Japan,2019,SQL Injection,Education,89.48,682430,Hacker Group,Zero-day,VPN,5
662,Australia,2018,SQL Injection,Education,75.2,60868,Insider,Social Engineering,Antivirus,46
663,France,2016,SQL Injection,Government,29.33,182916,Nation-state,Unpatched Software,Antivirus,17
664,France,2023,DDoS,Education,65.96,181879,Insider,Weak Passwords,Antivirus,64
665,Australia,2017,Phishing,Retail,95.2,715732,Unknown,Weak Passwords,Antivirus,11
666,UK,2023,Malware,Banking,16.02,452477,Hacker Group,Zero-day,Encryption,23
667,India,2018,Ransomware,Banking,11.19,168881,Insider,Social Engineering,AI-based Detection,5
668,France,2017,SQL Injection,Healthcare,27.42,94235,Insider,Social Engineering,Antivirus,29
669,Australia,2015,Ransomware,Telecommunications,17.38,75314,Unknown,Unpatched Software,Encryption,6
670,Russia,2019,Man-in-the-Middle,Retail,99.53,515797,Nation-state,Social Engineering,Firewall,46
671,Russia,2024,DDoS,Telecommunications,55.05,363906,Insider,Weak Passwords,Antivirus,31
672,UK,2022,DDoS,Education,79.6,446296,Unknown,Zero-day,AI-based Detection,4
673,Russia,2017,Ransomware,Telecommunications,65.18,329972,Nation-state,Unpatched Software,Firewall,48
674,China,2017,Ransomware,Education,25.73,639190,Insider,Social Engineering,Encryption,33
675,USA,2022,Ransomware,Government,33.71,135105,Unknown,Unpatched Software,VPN,48
676,China,2015,DDoS,Education,94.74,103079,Nation-state,Social Engineering,Antivirus,57
677,France,2018,DDoS,IT,75.88,822364,Unknown,Zero-day,VPN,71
678,India,2021,SQL Injection,Government,75.25,597509,Nation-state,Social Engineering,Firewall,20
679,Brazil,2023,Man-in-the-Middle,Telecommunications,90.37,705678,Hacker Group,Zero-day,Antivirus,57
680,France,2020,Phishing,Retail,14.45,309967,Unknown,Zero-day,Firewall,26
681,France,2022,Ransomware,Banking,54.47,604250,Unknown,Social Engineering,AI-based Detection,63
682,India,2024,Ransomware,IT,33.66,131900,Unknown,Unpatched Software,Antivirus,21
683,Australia,2022,Ransomware,Government,84.51,305494,Insider,Social Engineering,Firewall,19
684,Brazil,2023,Malware,Healthcare,61.56,907121,Unknown,Social Engineering,VPN,33
685,India,2024,Phishing,Banking,23.32,879162,Unknown,Zero-day,VPN,38
686,Brazil,2017,Man-in-the-Middle,Telecommunications,43.71,57237,Unknown,Unpatched Software,Firewall,52
687,Australia,2016,Phishing,Telecommunications,2.84,880127,Insider,Social Engineering,Antivirus,67
688,China,2017,Phishing,IT,71.4,698847,Insider,Zero-day,AI-based Detection,17
689,India,2022,Man-in-the-Middle,Banking,90.87,928859,Unknown,Unpatched Software,Firewall,32
690,India,2017,SQL Injection,IT,78.94,858565,Unknown,Weak Passwords,Encryption,29
691,China,2022,Malware,Telecommunications,34.33,571265,Unknown,Unpatched Software,Firewall,17
692,Russia,2015,DDoS,Banking,40.64,259321,Nation-state,Social Engineering,AI-based Detection,62
693,Brazil,2022,Man-in-the-Middle,Banking,59.43,121504,Insider,Weak Passwords,AI-based Detection,32
694,France,2018,DDoS,Banking,50.75,670630,Nation-state,Zero-day,Antivirus,4
695,China,2024,Ransomware,Banking,72.18,277175,Insider,Social Engineering,Firewall,72
696,USA,2016,Man-in-the-Middle,Retail,23.35,952463,Nation-state,Unpatched Software,Antivirus,26
697,UK,2020,DDoS,Government,78.32,624619,Unknown,Weak Passwords,AI-based Detection,67
698,China,2018,Phishing,Healthcare,20.22,363934,Insider,Weak Passwords,Firewall,24
699,Japan,2017,SQL Injection,IT,33.15,44750,Unknown,Unpatched Software,Firewall,22
700,UK,2021,DDoS,Banking,8.82,736601,Nation-state,Zero-day,AI-based Detection,26
701,Japan,2018,Ransomware,Education,43.32,42876,Unknown,Unpatched Software,Antivirus,40
702,Australia,2018,DDoS,Healthcare,90.4,536357,Nation-state,Weak Passwords,Encryption,55
703,USA,2017,Phishing,Government,55.34,785099,Insider,Social Engineering,Encryption,29
704,France,2019,DDoS,Healthcare,27.89,460544,Unknown,Weak Passwords,Firewall,29
705,France,2020,Ransomware,Education,66.04,881755,Unknown,Zero-day,Firewall,10
706,India,2024,SQL Injection,Telecommunications,10.24,213393,Unknown,Social Engineering,Encryption,49
707,UK,2017,Man-in-the-Middle,Telecommunications,43.82,213979,Hacker Group,Unpatched Software,Firewall,10
708,UK,2021,Malware,Telecommunications,3.17,570243,Insider,Unpatched Software,Antivirus,51
709,Brazil,2016,Malware,Government,72.73,47624,Nation-state,Weak Passwords,Firewall,70
710,China,2024,Man-in-the-Middle,Banking,16.09,72940,Nation-state,Zero-day,VPN,26
711,Japan,2020,Malware,Telecommunications,98.14,710142,Insider,Zero-day,AI-based Detection,56
712,Japan,2023,Malware,Retail,51.91,360524,Hacker Group,Unpatched Software,Firewall,47
713,France,2017,Phishing,IT,55.9,309259,Insider,Zero-day,AI-based Detection,3
714,UK,2024,Phishing,Government,30.68,393201,Nation-state,Social Engineering,Firewall,3
715,Germany,2020,Ransomware,IT,65.2,306799,Unknown,Zero-day,Encryption,61
716,Russia,2022,Malware,Healthcare,81.92,30180,Insider,Weak Passwords,AI-based Detection,53
717,India,2017,Phishing,Retail,97.87,113745,Unknown,Unpatched Software,Encryption,2
718,Japan,2024,Ransomware,Banking,24.22,584428,Nation-state,Weak Passwords,Firewall,34
719,France,2020,Ransomware,Healthcare,3.27,178268,Nation-state,Unpatched Software,Antivirus,2
720,China,2022,Phishing,Retail,33.69,338578,Unknown,Social Engineering,AI-based Detection,38
721,China,2024,DDoS,Healthcare,7.31,972407,Hacker Group,Zero-day,Encryption,51
722,Brazil,2022,Ransomware,Banking,15.66,817169,Insider,Unpatched Software,Firewall,54
723,Australia,2015,Malware,Healthcare,62.34,796100,Hacker Group,Social Engineering,AI-based Detection,20
724,UK,2016,Man-in-the-Middle,Banking,76.06,530253,Unknown,Weak Passwords,Encryption,28
725,Australia,2024,Man-in-the-Middle,Government,50.36,165496,Nation-state,Weak Passwords,Encryption,72
726,Russia,2021,Ransomware,Banking,34.92,501490,Insider,Social Engineering,Firewall,44
727,India,2016,Malware,Banking,11.81,392365,Insider,Social Engineering,Antivirus,72
728,China,2022,Malware,Education,96.72,194617,Insider,Social Engineering,Antivirus,31
729,Japan,2022,Man-in-the-Middle,Retail,44.34,516125,Unknown,Zero-day,Firewall,67
730,Australia,2021,Man-in-the-Middle,Telecommunications,67.72,393335,Hacker Group,Social Engineering,Antivirus,31
731,UK,2018,SQL Injection,Government,34.09,197436,Unknown,Zero-day,Antivirus,10
732,France,2022,DDoS,Education,31.51,452360,Nation-state,Zero-day,Antivirus,65
733,Australia,2018,DDoS,Healthcare,20.39,913090,Unknown,Zero-day,VPN,2
734,Germany,2018,SQL Injection,Telecommunications,38.65,368222,Insider,Zero-day,VPN,56
735,India,2022,SQL Injection,Healthcare,77.3,826937,Unknown,Zero-day,AI-based Detection,64
736,Brazil,2015,Ransomware,Retail,89.93,673959,Hacker Group,Zero-day,Firewall,39
737,UK,2022,Ransomware,Education,4.29,383246,Nation-state,Unpatched Software,VPN,45
738,UK,2019,Man-in-the-Middle,Banking,76.03,422890,Insider,Social Engineering,VPN,4
739,Australia,2020,Malware,Banking,42.3,497035,Hacker Group,Zero-day,AI-based Detection,66
740,Brazil,2023,Phishing,Government,72.57,720220,Unknown,Weak Passwords,Firewall,71
741,Russia,2019,Phishing,Government,93.7,808318,Nation-state,Social Engineering,Antivirus,57
742,Germany,2022,SQL Injection,IT,68.63,294981,Unknown,Zero-day,AI-based Detection,3
743,USA,2017,Phishing,Healthcare,52.7,281182,Nation-state,Zero-day,Encryption,27
744,Australia,2017,Ransomware,Education,66.56,95750,Nation-state,Zero-day,Antivirus,44
745,Brazil,2015,Ransomware,Retail,91.03,879260,Hacker Group,Social Engineering,Antivirus,16
746,Russia,2017,Man-in-the-Middle,IT,14.74,561615,Hacker Group,Weak Passwords,Antivirus,29
747,Brazil,2016,SQL Injection,Retail,40.29,206598,Unknown,Zero-day,Encryption,45
748,Brazil,2017,Man-in-the-Middle,IT,56.83,171305,Unknown,Unpatched Software,Firewall,54
749,Russia,2024,SQL Injection,Government,63.45,492909,Unknown,Zero-day,AI-based Detection,42
750,UK,2021,Man-in-the-Middle,IT,72.57,477493,Hacker Group,Unpatched Software,Encryption,16
751,Japan,2021,Phishing,Government,22.94,622723,Nation-state,Weak Passwords,AI-based Detection,67
752,Australia,2016,Malware,Healthcare,80.22,124155,Nation-state,Weak Passwords,Encryption,40
753,China,2024,Malware,Retail,34.49,897277,Unknown,Zero-day,VPN,55
754,USA,2017,SQL Injection,Healthcare,51.26,28682,Hacker Group,Zero-day,VPN,44
755,Japan,2020,Phishing,Banking,73.04,512431,Nation-state,Unpatched Software,VPN,44
756,Australia,2018,SQL Injection,IT,19.14,171977,Unknown,Zero-day,Antivirus,44
757,UK,2015,SQL Injection,Telecommunications,38.72,943070,Hacker Group,Zero-day,VPN,36
758,Japan,2021,DDoS,Education,14.88,887855,Nation-state,Zero-day,AI-based Detection,7
759,USA,2018,Ransomware,Retail,54.05,535110,Nation-state,Zero-day,Antivirus,2
760,USA,2021,Man-in-the-Middle,Telecommunications,42.29,817386,Nation-state,Zero-day,Firewall,8
761,India,2018,Phishing,Banking,96.59,206552,Nation-state,Weak Passwords,Encryption,13
762,Brazil,2020,Man-in-the-Middle,Education,71.35,154966,Hacker Group,Zero-day,Antivirus,19
763,France,2016,Phishing,Banking,54.5,511287,Unknown,Unpatched Software,Antivirus,34
764,Germany,2023,SQL Injection,Banking,94.48,426499,Unknown,Unpatched Software,VPN,37
765,UK,2016,Man-in-the-Middle,Telecommunications,73.63,15907,Hacker Group,Social Engineering,Antivirus,36
766,UK,2022,Phishing,Education,36.15,375734,Nation-state,Weak Passwords,AI-based Detection,31
767,Brazil,2023,Malware,Government,19.18,993826,Unknown,Zero-day,Firewall,7
768,India,2023,Ransomware,Banking,83.18,397813,Nation-state,Social Engineering,Antivirus,12
769,France,2024,Ransomware,Banking,70.98,185001,Insider,Zero-day,VPN,3
770,Japan,2024,DDoS,IT,7.99,805548,Insider,Unpatched Software,Antivirus,10
771,Brazil,2015,SQL Injection,Retail,74.74,562552,Nation-state,Unpatched Software,Encryption,37
772,Brazil,2018,Malware,Education,33.12,724513,Nation-state,Zero-day,VPN,46
773,UK,2024,SQL Injection,Telecommunications,54.1,715395,Unknown,Social Engineering,VPN,60
774,France,2020,Ransomware,Telecommunications,75.13,177097,Unknown,Unpatched Software,Encryption,15
775,Australia,2020,Man-in-the-Middle,Banking,56.34,407084,Unknown,Unpatched Software,Firewall,11
776,UK,2023,Phishing,Healthcare,23.66,889641,Hacker Group,Social Engineering,AI-based Detection,50
777,USA,2019,SQL Injection,IT,17.81,378105,Unknown,Weak Passwords,Encryption,4
778,Germany,2020,SQL Injection,Education,43.96,597987,Hacker Group,Weak Passwords,Encryption,50
779,USA,2018,Malware,Education,77.07,10600,Insider,Social Engineering,Firewall,47
780,France,2016,SQL Injection,Healthcare,10.82,586784,Hacker Group,Weak Passwords,Encryption,26
781,India,2023,SQL Injection,Banking,48.53,421083,Insider,Unpatched Software,AI-based Detection,28
782,Australia,2023,Ransomware,Education,94.86,127127,Unknown,Social Engineering,Encryption,47
783,China,2016,Malware,Government,15.92,668188,Insider,Unpatched Software,AI-based Detection,38
784,Japan,2018,SQL Injection,Education,11.28,433618,Hacker Group,Social Engineering,Antivirus,59
785,Germany,2023,Malware,Telecommunications,3.86,51176,Unknown,Social Engineering,Encryption,61
786,Germany,2016,SQL Injection,IT,34.35,918452,Unknown,Weak Passwords,AI-based Detection,16
787,Germany,2023,Ransomware,Healthcare,84.92,152814,Nation-state,Social Engineering,AI-based Detection,33
788,USA,2017,Man-in-the-Middle,Retail,74.57,502149,Hacker Group,Weak Passwords,AI-based Detection,29
789,USA,2019,Ransomware,Healthcare,89.81,46960,Nation-state,Zero-day,AI-based Detection,16
790,Brazil,2017,SQL Injection,Government,40.66,651335,Insider,Weak Passwords,Encryption,21
791,Brazil,2018,DDoS,Telecommunications,69.83,587034,Hacker Group,Weak Passwords,AI-based Detection,35
792,France,2015,Man-in-the-Middle,Healthcare,79.58,856278,Hacker Group,Zero-day,Firewall,71
793,China,2022,DDoS,Banking,79.07,880586,Hacker Group,Unpatched Software,VPN,56
794,USA,2019,DDoS,Government,81.56,78873,Hacker Group,Weak Passwords,Encryption,27
795,Australia,2017,DDoS,Banking,62.81,810106,Hacker Group,Weak Passwords,Encryption,66
796,Germany,2021,DDoS,Government,28.71,937384,Hacker Group,Unpatched Software,Encryption,67
797,Japan,2023,Man-in-the-Middle,Retail,36.68,231307,Unknown,Zero-day,Encryption,4
798,China,2016,DDoS,IT,71.75,816710,Hacker Group,Weak Passwords,VPN,60
799,USA,2019,Man-in-the-Middle,Telecommunications,17.21,896828,Unknown,Weak Passwords,Firewall,33
800,UK,2016,DDoS,Telecommunications,48.47,937466,Hacker Group,Social Engineering,AI-based Detection,28
801,China,2020,DDoS,Banking,11.72,81518,Nation-state,Social Engineering,VPN,47
802,Brazil,2015,Malware,IT,1.35,371048,Hacker Group,Zero-day,VPN,56
803,USA,2019,Phishing,IT,20.13,25946,Hacker Group,Weak Passwords,AI-based Detection,68
804,France,2017,Man-in-the-Middle,Education,14.99,942088,Insider,Zero-day,AI-based Detection,46
805,Japan,2015,Malware,Telecommunications,28.8,915532,Insider,Zero-day,Encryption,68
806,USA,2018,SQL Injection,Government,99.49,755576,Insider,Weak Passwords,AI-based Detection,23
807,Brazil,2018,Malware,Education,6.3,661644,Insider,Social Engineering,AI-based Detection,29
808,UK,2019,DDoS,Telecommunications,95.75,168951,Insider,Social Engineering,VPN,13
809,Russia,2022,Man-in-the-Middle,IT,49.87,816398,Insider,Social Engineering,Encryption,39
810,India,2017,DDoS,Education,83.49,79933,Hacker Group,Zero-day,AI-based Detection,23
811,USA,2019,Malware,Government,83.84,506149,Nation-state,Social Engineering,Encryption,35
812,Japan,2021,Phishing,Retail,81.26,245015,Nation-state,Zero-day,Firewall,41
813,Japan,2017,SQL Injection,Banking,66.81,966993,Hacker Group,Social Engineering,VPN,64
814,Australia,2016,Malware,Education,88.87,235062,Nation-state,Weak Passwords,Firewall,32
815,Brazil,2022,Phishing,Healthcare,75.08,132520,Unknown,Zero-day,Antivirus,56
816,Germany,2016,SQL Injection,Retail,56.57,869605,Unknown,Social Engineering,VPN,51
817,USA,2017,Phishing,Banking,96.27,637264,Hacker Group,Unpatched Software,AI-based Detection,11
818,Russia,2021,DDoS,Banking,45.6,759356,Insider,Social Engineering,VPN,1
819,Brazil,2021,DDoS,Education,69.37,666096,Hacker Group,Zero-day,Encryption,9
820,India,2021,SQL Injection,Telecommunications,68.91,851981,Nation-state,Zero-day,AI-based Detection,57
821,Australia,2024,Phishing,Banking,14.97,214740,Nation-state,Unpatched Software,Encryption,57
822,Brazil,2016,Phishing,Government,35.94,372653,Hacker Group,Weak Passwords,VPN,60
823,India,2024,Phishing,Banking,64.23,903871,Nation-state,Unpatched Software,Encryption,17
824,India,2015,Malware,Education,64.29,924049,Nation-state,Social Engineering,VPN,5
825,Australia,2020,Malware,Government,98.05,193983,Nation-state,Zero-day,Antivirus,31
826,Russia,2021,Ransomware,Telecommunications,11.04,904330,Nation-state,Weak Passwords,VPN,49
827,India,2018,SQL Injection,Education,52.05,874254,Nation-state,Zero-day,Antivirus,11
828,Germany,2020,Man-in-the-Middle,Healthcare,28.81,691190,Nation-state,Unpatched Software,Firewall,27
829,China,2024,DDoS,IT,61.42,412245,Nation-state,Social Engineering,Encryption,48
830,France,2021,Man-in-the-Middle,Healthcare,53.77,302180,Insider,Weak Passwords,AI-based Detection,11
831,USA,2016,Ransomware,Government,8.21,537592,Nation-state,Social Engineering,Antivirus,11
832,Brazil,2022,SQL Injection,Retail,25.85,632061,Nation-state,Zero-day,Antivirus,2
833,Brazil,2015,DDoS,Retail,67.52,224815,Nation-state,Social Engineering,Firewall,32
834,India,2022,DDoS,IT,23.91,169310,Unknown,Weak Passwords,Encryption,36
835,Japan,2023,Man-in-the-Middle,Telecommunications,86.98,635827,Nation-state,Social Engineering,Encryption,72
836,UK,2022,Ransomware,IT,63.67,560021,Unknown,Zero-day,Encryption,43
837,Japan,2021,Man-in-the-Middle,Government,61.03,768506,Nation-state,Zero-day,AI-based Detection,11
838,Australia,2018,Phishing,Healthcare,39.94,755469,Hacker Group,Social Engineering,Antivirus,58
839,India,2022,Ransomware,Retail,74.05,205336,Hacker Group,Social Engineering,AI-based Detection,2
840,France,2020,DDoS,IT,7.52,957779,Nation-state,Social Engineering,Encryption,17
841,UK,2017,Malware,Education,29.47,85644,Hacker Group,Social Engineering,AI-based Detection,3
842,France,2019,Man-in-the-Middle,Telecommunications,75.99,561713,Insider,Unpatched Software,Firewall,31
843,Germany,2017,Phishing,Healthcare,53.57,287762,Insider,Weak Passwords,Encryption,13
844,India,2015,Phishing,Healthcare,76.08,471550,Unknown,Zero-day,VPN,5
845,Japan,2018,SQL Injection,IT,69.19,33209,Insider,Unpatched Software,AI-based Detection,66
846,China,2017,Phishing,Retail,45.83,395251,Unknown,Unpatched Software,Encryption,33
847,Germany,2019,DDoS,IT,14.77,491791,Hacker Group,Zero-day,Encryption,66
848,Australia,2016,Phishing,Healthcare,53.81,279874,Hacker Group,Unpatched Software,AI-based Detection,66
849,France,2019,Malware,IT,71.94,881326,Insider,Unpatched Software,Firewall,43
850,UK,2023,DDoS,IT,68.86,749700,Nation-state,Zero-day,AI-based Detection,35
851,UK,2022,Phishing,Government,97.56,722445,Nation-state,Weak Passwords,Firewall,10
852,USA,2023,Ransomware,Government,84.13,695841,Nation-state,Zero-day,AI-based Detection,21
853,USA,2020,SQL Injection,Government,40.95,803757,Hacker Group,Social Engineering,Firewall,33
854,Japan,2022,DDoS,IT,20.16,174510,Insider,Zero-day,AI-based Detection,60
855,Germany,2022,SQL Injection,Retail,11.51,857660,Hacker Group,Zero-day,VPN,37
856,UK,2020,SQL Injection,Banking,47.67,729265,Unknown,Zero-day,Firewall,42
857,India,2023,Phishing,Retail,38.89,836604,Hacker Group,Unpatched Software,AI-based Detection,44
858,China,2016,Malware,Government,91.69,885843,Insider,Unpatched Software,AI-based Detection,46
859,France,2015,Man-in-the-Middle,Education,17.94,808798,Unknown,Social Engineering,Encryption,60
860,Russia,2018,Man-in-the-Middle,Telecommunications,30.5,401208,Hacker Group,Unpatched Software,VPN,10
861,Japan,2021,Ransomware,Healthcare,77.33,380970,Nation-state,Weak Passwords,Encryption,44
862,USA,2021,Phishing,Healthcare,70.03,248437,Hacker Group,Social Engineering,Encryption,70
